node,biogrid_degree_centrality,biogrid_closeness_centrality,biogrid_betweenness_centrality,string_degree_centrality,string_closeness_centrality,string_betweenness_centrality,intact_degree_centrality,intact_closeness_centrality,biogrid_clustering_coefficient,intact_clustering_coefficient,string_clustering_coefficient
Q8NI36,0.001287046,0.54078117,5.21e-06,0.054181021,0.002982669,5.16e-05,0.00025479,0.831739944,0.1562969140950792,0.1800356506238859,0.2683875786645559
P61970,0.000503118,0.550628486,2.84e-06,0.051362355,0.003027625,1.9e-05,0.000419655,0.747928471,0.0748663101604278,0.0207792207792207,0.233584762093806
Q9ULD2,0.000421215,0.28126858,1.95e-06,0.020148241,0.002868499,1.56e-05,0.000134889,0.766985557,0.0682539682539682,0.0522875816993464,0.0890787968508175
P53396,0.000386114,0.602371392,4.31e-06,0.078348471,0.003114889,0.000145579,0.000524569,0.850103839,0.0454545454545454,0.0691511387163561,0.2015474128358871
Q96KA5,0.000643523,0.300687944,1.56e-06,0.029543794,0.002991036,5.04e-05,0.000164864,0.757935102,0.1764309764309764,0.0346320346320346,0.1085024547359204
Q6PJ21,0.00028081,0.272769247,2.43e-07,0.010439503,0.002666312,2.87e-06,0.000142383,0.750273675,0.0036231884057971,0.0350877192982456,0.123467336683417
Q9H0E3,0.000643523,0.252462457,1.27e-05,0.026307548,0.002832794,2.83e-05,0.000389679,0.832345981,0.3245791245791246,0.1251885369532428,0.277170311464546
Q96JB2,0.000702025,0.508199192,2.67e-06,0.031579497,0.002873687,4.96e-05,0.000262284,0.816705172,0.0365646258503401,0.1260504201680672,0.1828307153412511
P52294,0.001485954,0.553919506,1.4e-05,0.064359536,0.003118696,0.000147748,0.000966705,0.897015589,0.038745156855393,0.0565649224806201,0.2100962703152484
O43301,0.000760527,0.576468694,8.71e-06,0.107944462,0.00324234,0.000461163,0.00025479,0.833930734,0.04375,0.0303030303030303,0.1711344991152297
Q86Z23,0.000608422,0.311377021,1.81e-06,0.006837875,0.002580784,1.13e-05,0.000359704,0.725760501,0.0279034690799396,0.0195035460992907,0.0763358778625954
P06028,0.000585021,0.299677463,7.61e-07,0.008351602,0.002601969,9.71e-07,0.000397173,0.716877256,0.0171428571428571,0.0108853410740203,0.1470911949685534
Q5SY16,0.000620122,0.309583891,4.86e-06,0.019782858,0.002832937,1.14e-05,0.000389679,0.847966698,0.1197387518142235,0.0980392156862745,0.1898200499783613
P09972,0.000596722,0.590105675,2.7e-06,0.071406201,0.003145383,0.000103744,0.000172358,0.790520532,0.0713725490196078,0.1264822134387351,0.1645950709497469
Q9BY84,0.002176279,0.317017967,3.05e-05,0.045359641,0.003103321,5.21e-05,0.000247297,0.742163909,0.013368206916594,0.043560606060606,0.2181144702582023
Q13425,0.000725426,0.590887565,0.000248811,0.026150955,0.002922656,1.57e-05,0.000509581,0.905031814,0.0713907985193019,0.064091308165057,0.1807345309381237
Q96B97,0.000678624,0.584045848,9.9e-06,0.050683787,0.003034835,0.000138904,0.0010941,0.830126048,0.0163339382940108,0.0373169579593764,0.1331733678745474
Q9Y5X3,0.000655224,0.59000446,5.56e-06,0.030535547,0.00293573,5.22e-05,0.00035221,0.884729163,0.0584415584415584,0.0693802035152636,0.1564512352183585
Q9Y6I3,0.000468017,0.590425595,7.39e-06,0.049065664,0.003053668,6.75e-05,0.000247297,0.833902504,0.0538461538461538,0.1079545454545454,0.1759522352887861
A1L190,0.000608422,0.354083267,6.19e-06,0.016233427,0.00271814,2.9e-05,0.000397173,0.736109844,0.0399698340874811,0.0442670537010159,0.142578570687688
Q13976,0.000234008,0.284984513,1.4e-06,0.076573755,0.003188085,0.000165598,0.000142383,0.778157126,0.0105263157894736,0.023391812865497,0.1613384406929716
P11047,0.000725426,0.501373238,4.15e-06,0.045516233,0.003083491,8.97e-05,0.000217321,0.747668147,0.0576414595452141,0.0246305418719211,0.1829279853379538
O95486,0.001345549,0.590061449,9.9e-06,0.04389811,0.003005146,0.000130448,0.000404667,0.862306468,0.0818430464969492,0.0831586303284416,0.1393154408017666
P40855,0.001485954,0.540748031,7.75e-06,0.031788287,0.002949699,2.76e-05,0.000884273,0.796576855,0.0228721409823772,0.0094161958568738,0.1335288652666148
Q96N67,0.000772228,0.334747082,7.65e-06,0.038156384,0.003014172,5.16e-05,0.000502087,0.829753077,0.0247086247086247,0.0782451379466304,0.1606094110151228
Q9Y4C8,0.002059274,0.538139856,1.9e-06,0.039148137,0.002895028,2.84e-05,0.000314741,0.771003384,0.3298701298701298,0.1962833914053426,0.2628001780151313
Q96RR1,0.000936034,0.379790433,2.97e-06,0.029491596,0.002886254,2.05e-05,0.000337223,0.793367102,0.2319620253164556,0.0464646464646464,0.2229147053285633
O95391,0.000608422,0.31354338,3.09e-06,0.040714062,0.002963755,3.11e-05,0.000397173,0.776962416,0.0550527903469079,0.0573294629898403,0.2317994799381192
P08779,0.000222308,0.525519581,1.11e-06,0.029021819,0.002894335,0.000145794,0.000636976,0.830457808,0.0994152046783625,0.0971988795518207,0.1937909132153736
Q9H5I1,0.000210608,0.313143589,3.16e-06,0.055851341,0.003062695,0.000148737,0.000427149,0.74596897,0.0718954248366013,0.0407268170426065,0.2538017013017669
Q99575,0.001497654,0.552323318,4.19e-06,0.022027351,0.002828365,3.18e-06,0.000592013,0.812617044,0.2242864173228346,0.1019149626744563,0.2930170773716383
Q9H0L4,0.000374414,0.495345672,2.76e-06,0.065821067,0.003117029,8.61e-05,0.000329729,0.761999444,0.0463709677419354,0.0644820295983086,0.182242614201377
