Interactor_A,Interactor_B,Detection_Method,Interactor_A_Taxid,Interactor_B_Taxid,Interaction_Type,Reference,Confidence_Value,Original_ID_A,Original_ID_B,database
EBI-105310,Q9VYE7,MI:0018,7227,7227,MI:0915,MI:0469,0.37,intact:EBI-105310,uniprotkb:Q9VYE7,IntAct
Q9VYE7,P49905,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYE7,uniprotkb:P49905,IntAct
Q9VYE7,O46070,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYE7,uniprotkb:O46070,IntAct
Q9VPT8,Q9VYE7,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VPT8,uniprotkb:Q9VYE7,IntAct
Q9VYE7,Q23985,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYE7,uniprotkb:Q23985,IntAct
Q9VYE7,Q9VBL2,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYE7,uniprotkb:Q9VBL2,IntAct
Q9VBL2,Q9VYE7,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VBL2,uniprotkb:Q9VYE7,IntAct
Q9VYE7,P00528,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYE7,uniprotkb:P00528,IntAct
Q9VYE7,Q9W0C5,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYE7,uniprotkb:Q9W0C5,IntAct
Q9VYE7,Q960E4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYE7,uniprotkb:Q960E4,IntAct
Q8SX59,Q9VYE7,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q8SX59,uniprotkb:Q9VYE7,IntAct
Q9VYD4,Q9V393,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q9V393,IntAct
Q9VYD4,Q9V8V8,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q9V8V8,IntAct
Q9VYD4,Q9W4I4,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q9W4I4,IntAct
Q9VYD4,Q9W127,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q9W127,IntAct
Q9VYD4,Q9W1G7,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q9W1G7,IntAct
Q9VYD4,Q9VK57,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q9VK57,IntAct
Q9VYD4,Q9VWQ2,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q9VWQ2,IntAct
Q9VYD4,Q9VNX6,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q9VNX6,IntAct
Q9VYD4,O46036,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:O46036,IntAct
Q9VYD4,Q9VS59,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q9VS59,IntAct
Q9VYD4,Q8T3U2,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYD4,uniprotkb:Q8T3U2,IntAct
Q9VYC9,Q9VJU2,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYC9,uniprotkb:Q9VJU2,IntAct
Q9VTR2,Q9VYC9,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VTR2,uniprotkb:Q9VYC9,IntAct
Q9VYC9,P08175,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYC9,uniprotkb:P08175,IntAct
Q9VYC9,Q9W5X1,MI:0018,7227,7227,MI:0915,MI:0469,0.37,uniprotkb:Q9VYC9,uniprotkb:Q9W5X1,IntAct
